"","x"
"1",2.34522856740468
"2",2.39475854444364
"3",2.4460933465211
"4",2.49730259040862
"5",2.54972684798197
"6",2.60335801467739
"7",2.65775942702331
"8",2.71408938146357
"9",2.77047430009016
"10",2.82880609685847
"11",2.88848083276656
"12",2.94934387440274
"13",3.01137892596834
"14",3.07403159890747
"15",3.13886664562301
"16",3.20520530743186
"17",3.2719216401201
"18",3.34117368374696
"19",3.41123794768891
"20",3.48254418090701
"21",3.55576291439833
"22",3.63008458672204
"23",3.70642079074506
"24",3.78400744523711
"25",3.86194410022118
"26",3.94201506762777
"27",4.02373046865596
"28",4.10764848801275
"29",4.19227510381816
"30",4.27856938391499
"31",4.36713078943251
"32",4.45681353433082
"33",4.54838664120218
"34",4.64214880285668
"35",4.73676243926274
"36",4.83340983271141
"37",4.93209643293626
"38",5.03243074265662
"39",5.13335401399527
"40",5.23645570551125
"41",5.34151562319271
"42",5.44947687617456
"43",5.55767689597477
"44",5.66951819669991
"45",5.78201088690261
"46",5.89453967762543
"47",6.01141225706528
"48",6.12761833616235
"49",6.24590218596463
"50",6.36882924891029
"51",6.49165899264481
"52",6.6150034743881
"53",6.74098371121739
"54",6.86911892270387
"55",6.9943967294942
"56",7.12288641638626
"57",7.25461494106577
"58",7.38551251716823
"59",7.5171539471536
"60",7.65225990530556
"61",7.78733847413199
"62",7.92260993869097
"63",8.05860493207643
"64",8.19311117783451
"65",8.33178386711945
"66",8.46667461449941
"67",8.60272988277765
"68",8.74258756043143
"69",8.879412775636
"70",9.01570304937896
"71",9.15354319354337
"72",9.29128394752732
"73",9.43006756440669
"74",9.56982878416742
"75",9.71037182591628
"76",9.8478628022205
"77",9.98780348029648
"78",10.1280702021226
"79",10.2691932538602
"80",10.4132568454353
"81",10.5518376953273
"82",10.6949255321737
"83",10.8384377244758
"84",10.9802161100885
"85",11.1260932789683
"86",11.2724108466926
"87",11.4208419480216
"88",11.5705312785619
"89",11.7204967379997
"90",11.870330509121
"91",12.0213930821327
"92",12.1719366314852
"93",12.325728544063
"94",12.4801292076327
"95",12.6363203385786
"96",12.7956743705863
"97",12.9517900319609
"98",13.1090116316003
"99",13.2688893635693
"100",13.4299852927363
